property_type,place_with_parent_names,region,lat-lon,area_m2,price_usd
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.6443051,-35.7088142",110,"$187,230.85 "
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.6430934,-35.70484",65,"$81,133.37 "
house,|Brasil|Alagoas|Maceió|,Northeast,"-9.6227033,-35.7297953",211,"$154,465.45 "
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.622837,-35.719556",99,"$146,013.20 "
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.654955,-35.700227",55,"$101,416.71 "
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.614414,-35.735621",56,"$75,727.07 "
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.584755,-35.662909",68,"$110,916.18 "
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.658285,-35.703827",187,"$249,641.14 "
apartment,|Brasil|Alagoas|Maceió|,Northeast,,65,"$100,792.61 "
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.66082,-35.702976",90,"$115,459.02 "
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.6637998,-35.7115455",137,"$361,979.65 "
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.661504,-35.702961",101,"$131,061.59 "
house,|Brasil|Alagoas|Marechal Deodoro|,Northeast,"-9.697809,-35.893414",140,"$99,856.45 "
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.629426,-35.69973",250,"$466,625.47 "
apartment,|Brasil|Alagoas|Maceió|,Northeast,,182,"$312,051.42 "
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.64956,-35.73711",136,"$162,941.08 "
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.6608,-35.705772",145,"$200,197.52 "
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.649588,-35.708401",138,"$188,295.26 "
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.650917,-35.706558",175,"$405,666.85 "
apartment,|Brasil|Alagoas|Maceió|,Northeast,,133,"$187,230.85 "
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.658275,-35.705242",122,"$187,230.85 "
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.66082,-35.702976",98,"$118,579.54 "
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.661148,-35.700417",107,"$183,069.25 "
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.638323,-35.74342",68,"$86,366.47 "
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.658285,-35.703827",118,"$199,559.38 "
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.66356,-35.73373",205,"$106,050.67 "
apartment,|Brasil|Alagoas|Maceió|,Northeast,"-9.659634,-35.705776",130,"$209,074.45 "
apartment,|Brasil|Amapá|Macapá|,North,"0.0204232,-51.0695784",93,"$148,349.22 "
apartment,|Brasil|Amazonas|Manaus|Santo Agostinho|,North,"-3.097695,-60.057747",117,"$249,641.14 "
house,|Brasil|Amazonas|Manaus|Parque 10 de Novembro|,North,"-3.0782332,-60.0047424",110,"$118,579.54 "
house,|Brasil|Amazonas|Manaus|Flores|,North,"-3.047664,-59.999931",80,"$78,012.85 "
house,|Brasil|Amazonas|Manaus|Flores|,North,,104,"$140,423.14 "
house,|Brasil|Bahia|Salvador|Nazaré|,Northeast,"-12.977729,-38.5093",138,"$93,615.42 "
house,|Brasil|Bahia|Lauro de Freitas|Pitangueiras|,Northeast,,202,"$154,465.45 "
house,|Brasil|Bahia|Lauro de Freitas|Pitangueiras|,Northeast,"-12.852844,-38.32711",202,"$154,465.45 "
apartment,|Brasil|Bahia|Salvador|Pituba|,Northeast,"-12.993305,-38.45739",120,"$87,374.39 "
